country,country_code,region,income_group,skill_level,wage_usd_year,unit,capital,pathway,source
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,low,3528.672517796969,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,medium,7228.778518239945,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,high,30926.60026933959,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Cuba,CUB,Latin America & Caribbean,Upper middle income,low,68.60312423948383,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Cuba,CUB,Latin America & Caribbean,Upper middle income,medium,125.14191366487066,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Cuba,CUB,Latin America & Caribbean,Upper middle income,high,573.3626240462373,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Curaçao,CUW,Latin America & Caribbean,High income,low,7531.7170610891635,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Curaçao,CUW,Latin America & Caribbean,High income,medium,15614.68151248875,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Curaçao,CUW,Latin America & Caribbean,High income,high,64963.306584191494,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Cayman Islands,CYM,Latin America & Caribbean,High income,low,34504.2696822359,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Cayman Islands,CYM,Latin America & Caribbean,High income,medium,71533.9115289632,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Cayman Islands,CYM,Latin America & Caribbean,High income,high,297609.61964582466,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Cyprus,CYP,Europe & Central Asia,High income,low,11235.903893723702,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Cyprus,CYP,Europe & Central Asia,High income,medium,17630.106812166,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Cyprus,CYP,Europe & Central Asia,High income,high,42207.00198017054,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Czechia,CZE,Europe & Central Asia,High income,low,12867.26222790615,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Czechia,CZE,Europe & Central Asia,High income,medium,18636.43635795916,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Czechia,CZE,Europe & Central Asia,High income,high,37863.501146051705,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Germany,DEU,Europe & Central Asia,High income,low,19805.746228091266,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Germany,DEU,Europe & Central Asia,High income,medium,32405.937043075224,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Germany,DEU,Europe & Central Asia,High income,high,76115.82741941138,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
